USD,SENT,Price
81.35,-32.19132014,112.24
80.77,-149.5199542,111.26
81.52,-198.907999,110.44
81.52,-316.7351454,111.2
81.18,-311.9620373,111.53
80.61,-491.7870751,110.66
80.22,-525.8452065,111.55
80.22,-445.0230668,109.86
79.78,-630.4669116,110.58
79.87,-766.809603,110.03
79.58,-831.331471,109.81
79.39,-924.5236632,110.79
78.9,-860.7019276,111.46
79.17,-862.6208353,110.75
79.29,-959.8861051,110.98
78.92,-987.5975468,111.56
78.99,-960.5891437,112.07
78.92,-949.1762251,114.58
79.07,-1089.452259,115.93
78.58,-1136.623636,116.23
78.64,-1092.280561,117.2
78.57,-1112.297041,118.59
79.11,-1209.750791,117.31
78.95,-1248.458743,117.93
79.58,-1259.158074,118.16
79.67,-1172.552431,118.93
79.35,-1101.601423,120.11
79.33,-952.1105004,119.58
79.33,-908.3296514,120.05
79.04,-1045.450982,121.66
79.21,-1078.729038,122.9
78.82,-978.5745493,123.62
78.35,-889.2629724,125.47
78.57,-929.9036941,124.17
78.27,-972.6160502,121.55
78.74,-974.5772063,122.66
78.79,-948.6779728,126.2
79.4,-889.2905883,123.65
79.3,-882.4071346,123.8
79.87,-1106.796003,121.98
79.71,-1120.383548,124.12
79.14,-1116.186688,125.44
80.04,-1168.811409,125.98
79.89,-1230.237127,125.34
80.19,-1339.218689,126.22
80.56,-1288.192476,124.97
80.15,-1342.67129,123.55
79.79,-1382.91861,125.81
79.45,-1468.054396,125.71
79.59,-1457.76683,124.12
79.66,-1515.346211,124.2
79.74,-1527.372666,123.14
79.34,-1485.592148,125.13
78.98,-1526.498326,125.65
79.05,-1567.266413,125.54
79.13,-1520.479117,124.16
79.19,-1586.459757,122.39
79,-1549.198736,122.88
78.82,-1618.617178,125.43
79.48,-1587.620801,124.86
79.78,-1626.239538,122.34
80.08,-1608.605918,123.43
79.73,-1706.254765,122.67
79.89,-1884.221705,119.88
79.8,-1846.794796,120.18
79.28,-1741.707465,121.71
79.89,-1719.431181,121.83
79.56,-1709.715689,118.68
79.48,-1894.915703,118.78
79.54,-1943.120114,117.97
79.56,-1935.315466,118
79.19,-1987.841775,118.76
79.42,-2102.184076,118.71
79.22,-2103.090529,118.16
79.01,-2334.667186,119.12
78.92,-2326.209548,119.92
78.71,-2346.885653,119.83
78.78,-2331.061822,119.47
78.86,-2385.269016,119.66
79.13,-2415.208965,118.2
79.22,-2487.883365,116.08
79.5,-2451.577202,113.18
79.6,-2527.368339,113.16
79.74,-2638.047203,112.73
80.08,-2818.982098,113.2
80.11,-2788.250096,112.73
80.26,-2734.736522,112.26
80.61,-2785.215934,111.57
81.22,-2814.262384,112.24
81.37,-2970.687702,111.71
81.38,-3049.568006,107.49
81.29,-3011.719442,107.14
81.08,-2923.448899,108.81
81.49,-3001.275549,108.41
82.09,-2958.494535,105.56
82.35,-2886.815041,106.55
82.4,-2782.43841,106.83
82.4,-2706.316482,107.11
82.48,-2742.498334,106.68
83.02,-2747.147304,103.47
83.04,-2717.060448,101.87
82.89,-2686.15585,98.43
82.56,-2679.182355,98.85
82.83,-2773.889072,98.84
82.32,-2794.075485,100.64
82.05,-2770.80928,99.93
82.51,-2743.302582,99.47
82.52,-2560.044542,98
82.42,-2520.029803,97.14
82.06,-2261.210403,97.13
81.99,-2202.29467,97.03
81.63,-2162.820231,97.61
81.95,-2279.652324,96.05
81.38,-2290.251473,95.76
81.58,-2292.141953,92.69
82.29,-2216.782676,89.23
82.26,-2077.761247,90.98
82.5,-2019.830942,91.01
82.37,-2034.363012,93.02
82.62,-2046.988628,93.5
82.81,-2169.480453,91.36
81.63,-2118.154476,97.8
81.87,-2097.343545,97.34
81.78,-2100.305765,100.68
81.78,-2058.749168,99.77
82.81,-2072.493705,100.7
83.38,-2096.205983,98.19
83.16,-2033.814928,100.32
83.4,-2009.308846,97.97
83.57,-1860.683897,100.23
83.66,-1889.103315,101.07
83.35,-1872.116474,102.4
83.1,-1841.295309,103.55
83.03,-1824.023964,104
83.07,-1804.620738,105.16
82.88,-1748.622517,107.8
83.48,-1761.863945,106.83
83.71,-1799.574888,103.26
84,-1938.346974,103.42
83.52,-1990.142262,104.38
82.81,-2001.214406,105.26
82.71,-1977.074285,106.47
82.79,-1963.146262,106.2
82.64,-1979.222534,104.92
83.06,-1919.904828,105.96
83.36,-2054.618395,105.9
82.38,-2063.077414,108.94
82.27,-2041.823964,109.55
82.21,-1932.702179,112
82.39,-1818.819738,112.14
82.64,-1790.055387,113.22
82.55,-1908.989092,112.95
82.44,-1882.885328,113.6
82.48,-1967.911732,114.03
82.64,-1953.187928,116.25
82.36,-1993.452423,116.9
82.6,-2063.713225,113.71
82.46,-2121.219928,113.7
81.91,-2081.365522,114.64
81.49,-2085.77987,114.91
81.36,-2027.22008,115.01
81.59,-2034.188509,113.59
81.66,-2021.889132,112.26
81.37,-2030.153836,112.58
81.55,-2091.102141,112.54
81.69,-2029.729447,112.65
81.21,-1940.282148,114.57
81.21,-1969.485344,115.78
81.31,-1926.118697,114.18
81.23,-1877.535736,113.09
81.04,-1753.201809,113.49
80.25,-1773.188075,114.25
80.36,-1883.564344,114.81
79.86,-1780.069277,115.4
79.74,-1714.87521,115.96
79.26,-1685.365427,116.9
78.85,-1599.789692,116.66
79.01,-1578.462244,113.79
79.25,-1587.86295,112.03
79.06,-1641.038788,108.19
79.41,-1632.126145,110.03
79.33,-1646.721361,111.42
79.52,-1686.383381,109.81
79.55,-1730.549047,110.45
79.89,-1626.214059,110.04
79.55,-1648.194528,112.01
79.94,-1689.041473,112.39
79.82,-1723.834597,112.19
79.74,-1899.713879,111.57
79.97,-1693.366499,108.17
79.35,-1726.994727,112.58
79.34,-1753.977722,112.02
79.54,-1846.869613,111.82
79.95,-1934.438683,114.5
79.92,-2014.941758,114.33
79.78,-1984.275516,115.71
79.67,-1941.834409,114.62
79.74,-1859.604903,115.8
79.41,-1791.320366,115.07
79.02,-1904.838284,113.22
79.37,-2030.926051,112.42
79.62,-2060.916133,110.14
79.65,-2183.166716,109.44
79.98,-2366.576775,108.25
79.91,-2407.058758,107.85
80.04,-2445.081066,108.49
80.07,-2491.884759,109.55
80.23,-2530.529734,109.44
79.93,-2587.030205,109.08
79.92,-2531.561576,108.7
80.05,-2580.538361,108.17
80.59,-2577.122015,105.68
80.75,-2573.301163,107.73
80.61,-2538.244417,111.07
80.76,-2698.394797,106.82
80.79,-2723.984959,107.25
81.03,-2673.973042,109.4
81.03,-2691.524084,109.07
81.08,-2833.622002,108.26
81.06,-2817.502852,109.61
81.08,-2870.104699,110.98
81.26,-2816.179143,108.95
80.87,-2872.288666,111.7
80.96,-2916.875317,109.83
80.93,-2862.156533,110.86
80.7,-2850.68357,110.55
80.19,-2789.96135,111.38
80.25,-2790.349131,110.92
80.4,-2838.839478,109.87
80.34,-2745.126028,109.51
80.2,-2860.307852,110.76
80.15,-2857.481465,111.23
79.88,-2871.667249,110.92
