Date,USD,Energy,SENT,brent,WTI
2012-01-03,79.61,6228.69,-34.29669162,112.13,102.91
2012-01-04,80.13,6195.88,-35.87842516,113.7,103.29
2012-01-05,80.94,6164.063333,-39.20183703,112.74,101.34
2012-01-06,81.25,6132.246667,-32.51385342,113.06,101.92
2012-01-09,81.05,6100.43,18.7860061,112.45,101.31
2012-01-10,80.81,6138.19,-20.77558248,113.28,102.17
2012-01-11,81.35,6155.59,-32.19132014,112.24,100.98
2012-01-12,80.77,6148.413333,-149.5199542,111.26,99.25
2012-01-13,81.52,6141.236667,-198.907999,110.44,99.05
2012-01-16,81.52,6134.06,-316.7351454,111.2,100.025
2012-01-17,81.18,6032.6,-311.9620373,111.53,101.0
2012-01-18,80.61,6021.9,-491.7870751,110.66,101.14
2012-01-19,80.22,6032.306667,-525.8452065,111.55,100.36
2012-01-20,80.22,6042.713333,-445.0230668,109.86,98.14
2012-01-23,79.78,6053.12,-630.4669116,110.58,99.93
2012-01-24,79.87,6069.94,-766.809603,110.03,99.23
2012-01-25,79.58,6068.48,-831.331471,109.81,99.75
2012-01-26,79.39,6098.546667,-924.5236632,110.79,99.88
2012-01-27,78.9,6128.613333,-860.7019276,111.46,99.78
2012-01-30,79.17,6158.68,-862.6208353,110.75,98.95
2012-01-31,79.29,6206.98,-959.8861051,110.98,98.28
2012-02-01,78.92,6197.24,-987.5975468,111.56,97.16
2012-02-02,78.99,6222.616667,-960.5891437,112.07,96.59
2012-02-03,78.92,6247.993333,-949.1762251,114.58,97.77
2012-02-06,79.07,6273.37,-1089.452259,115.93,97.08
2012-02-07,78.58,6272.69,-1136.623636,116.23,98.75
2012-02-08,78.64,6299.31,-1092.280561,117.2,99.05
2012-02-09,78.57,6299.406667,-1112.297041,118.59,99.8
2012-02-10,79.11,6299.503333,-1209.750791,117.31,99.05
2012-02-13,78.95,6299.6,-1248.458743,117.93,100.79
2012-02-14,79.58,6296.06,-1259.158074,118.16,101.0
2012-02-15,79.67,6273.79,-1172.552431,118.93,101.87
2012-02-16,79.35,6320.316667,-1101.601423,120.11,102.33
2012-02-17,79.33,6366.843333,-952.1105004,119.58,104.03
2012-02-20,79.33,6413.37,-908.3296514,120.05,104.925
2012-02-21,79.04,6514.76,-1045.450982,121.66,105.82
2012-02-22,79.21,6574.4,-1078.729038,122.9,105.95
2012-02-23,78.82,6587.223333,-978.5745493,123.62,108.68
2012-02-24,78.35,6600.046667,-889.2629724,125.47,109.62
2012-02-27,78.57,6612.87,-929.9036941,124.17,107.88
2012-02-28,78.27,6636.18,-972.6160502,121.55,106.49
2012-02-29,78.74,6697.14,-974.5772063,122.66,106.91
2012-03-01,78.79,6714.206667,-948.6779728,126.2,108.6
2012-03-02,79.4,6731.273333,-889.2905883,123.65,106.51
2012-03-05,79.3,6748.34,-882.4071346,123.8,107.13
2012-03-06,79.87,6841.11,-1106.796003,121.98,104.98
2012-03-07,79.71,6805.5,-1120.383548,124.12,106.16
2012-03-08,79.14,6874.473333,-1116.186688,125.44,106.84
2012-03-09,80.04,6943.446667,-1168.811409,125.98,107.43
2012-03-12,79.89,7012.42,-1230.237127,125.34,106.57
2012-03-13,80.19,7013.07,-1339.218689,126.22,106.71
2012-03-14,80.56,7057.09,-1288.192476,124.97,105.55
2012-03-15,80.15,7061.036667,-1342.67129,123.55,105.45
2012-03-16,79.79,7064.983333,-1382.91861,125.81,107.17
2012-03-19,79.45,7068.93,-1468.054396,125.71,107.86
2012-03-20,79.59,6993.33,-1457.76683,124.12,105.67
2012-03-21,79.66,7171.96,-1515.346211,124.2,106.91
2012-03-22,79.74,7200.783333,-1527.372666,123.14,105.59
2012-03-23,79.34,7229.606667,-1485.592148,125.13,106.75
2012-03-26,78.98,7258.43,-1526.498326,125.65,107.11
2012-03-27,79.05,7226.49,-1567.266413,125.54,106.77
2012-03-28,79.13,7198.51,-1520.479117,124.16,105.55
2012-03-29,79.19,7288.206667,-1586.459757,122.39,103.28
2012-03-30,79.0,7377.903333,-1549.198736,122.88,102.93
2012-04-02,78.82,7467.6,-1618.617178,125.43,105.05
2012-04-03,79.48,7487.51,-1587.620801,124.86,104.06
2012-04-04,79.78,7443.72,-1626.239538,122.34,102.04
2012-04-05,80.08,7305.67,-1608.605918,123.43,103.24
2012-04-09,79.73,7167.62,-1706.254765,122.67,102.17
2012-04-10,79.89,6996.41,-1884.221705,119.88,100.94
2012-04-11,79.8,6979.72,-1846.794796,120.18,102.56
2012-04-12,79.28,6848.56,-1741.707465,121.71,103.63
2012-04-13,79.89,6717.4,-1719.431181,121.83,102.84
2012-04-16,79.56,6586.24,-1709.715689,118.68,103.17
